genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me3,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k4me1,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,Epi_LevelOne,Epi_LevelTwo,adipose_tissue,adrenal_gland,brain,breast,heart,kidney,ovary,prostate_gland,skeletal_muscle_tissue,thyroid_gland,Exp_LevelOne,Exp_LevelTwo,genebody_LINE,genebody_LTR,genebody_Satellite,genebody_SINE,micropeptide_aa_avg,TSS1k_LINE,TSS1k_LTR,TSS1k_Satellite,TSS1k_SINE,Gen_LevelOne,Gen_LevelTwo,cancer-miRNA_targets,hbm_cancer-protein_degree,hbm_total_degree,miRNA_targets,Net_LevelOne,Net_LevelTwo
1.2862,2.07017,1.4059,2.18349,3.35721,1.8146900000000001,1.10414,1.8663900000000002,1.24187,1.9487700000000001,1.39014,1.62875,1.19255,1.71125,5.94158,1.86087,1.3469200000000001,1.7302400000000002,1.58571,1.56734,2.5624119999999997,2.327145,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.95,0.11875,0.039583349999999996,2,1,0,5,0.0,0,0,0,0,0.2184986595,0.29222091114285714,0,3,158,0,0.033182301111111104,-0.1657969
0.8222219999999999,2.01582,1.29987,1.81758,1.38042,1.44054,1.54167,1.43889,1.31225,1.45249,1.46623,1.30169,1.44179,1.16439,1.34545,1.47212,1.82456,1.22991,1.4727,1.30979,1.9129246000000002,1.58527,0.35625,0.95,1.1875,0.7125,0.31666700000000003,0.95,0.95,0.31666700000000003,0.475,0.855,0.31666675,0.49761900000000003,0,1,0,0,0.0,1,2,0,0,0.0,0.28562469114285716,0,0,1,0,0.3857575888888889,-0.007903481818181823
0.899302,0.9369569999999999,1.9170099999999999,0.945,0.902954,1.46341,0.883569,1.1543,1.76692,2.47865,0.986667,1.72508,1.7015900000000002,1.6595099999999998,1.469,1.2549,1.41915,1.22694,2.80987,1.62585,1.5389950000000001,2.832545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0.0,0.28193101685714284,0,0,0,0,0.0,0.0
61.0045,10.8971,1.41075,4.60781,6.79172,2.90924,76.3113,1.40487,1.33333,13.5001,1.84102,1.57187,1.5901,1.2648,16.0991,4.88214,1.4860200000000001,1.56338,1.42225,1.44404,10.674448,2.091625,0.475,0.95,0.475,0.475,0.475,0.38,0.855,0.791667,0.19,0.665,0.61552075,0.22619050000000002,0,2,0,0,0.0,0,3,0,1,0.229719189,0.31534139499999997,0,0,6,0,0.17454654444444445,0.16184386
2.30286,6.05644,1.30071,2.64372,4.80278,2.80776,2.08125,6.637980000000001,11.1351,2.184,3.32153,3.19492,1.27372,3.0951299999999997,2.7587,1.56036,2.3376200000000003,2.39379,8.54025,2.24051,9.051376000000001,3.6718450000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58333,0.0,0.0,0.07125,0.0,0,0,0,0,0.0,0,0,0,1,0.23125,0.29479368371428566,0,3,368,0,-0.19445843333333335,0.07331902727272727
0.8879309999999999,1.6370200000000001,1.3814899999999999,0.0,0.767857,1.77778,1.13846,1.9835599999999998,1.36585,0.84,1.1170799999999999,1.36548,1.3452899999999999,1.56556,1.38524,1.27163,1.48068,1.1186,1.23333,1.45455,1.6516236,1.77798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03392855,0,0,0,0,0.0,0,0,0,0,0.0,0.29732191028571425,0,13,636,0,-0.2433010888888889,0.00289592727272726
1.35725,1.98295,1.36677,2.04692,1.8502599999999998,1.59266,1.63368,1.74479,1.85258,1.75699,1.3214299999999999,1.33199,1.32168,1.80977,1.55491,1.22485,2.31685,1.1146,4.47676,1.83873,2.08764,1.6488099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07125,0.0,0,1,0,3,0.0,0,1,0,0,0.21943430649999998,0.28824553757142857,0,15,5455,0,-0.09642966666666666,0.1076517
0.965217,1.62101,1.67973,2.30294,2.87466,1.47573,1.74118,1.8342900000000002,1.60828,1.5912,2.71394,3.3970300000000004,2.08656,1.4933299999999998,2.83561,1.3082200000000002,3.10545,2.3988099999999997,4.9554599999999995,1.7743799999999998,5.171584,4.795095000000001,0.0,0.095,0.0,0.35625,6.33333,0.095,0.0,0.0,0.0,0.095,0.0534375,0.0,1,1,0,3,0.0,1,0,0,2,0.24000666199999998,0.30960589099999997,0,0,738,0,0.14076832222222224,0.19271414545454546
1.93145,2.75481,1.22003,3.3499,4.03045,2.4592400000000003,1.0206899999999999,1.07778,0.8888889999999999,2.13962,1.27701,1.23653,1.3871200000000001,1.3,2.2384,1.91268,1.2307700000000001,1.32318,1.18747,1.16104,2.509586,1.324385,0.11875,0.475,0.11875,0.2375,0.0,0.19,0.095,0.0,0.0,0.19,0.106875,0.0,14,3,0,6,0.0,0,1,0,1,0.1869069885,0.27953837214285715,0,0,31,0,0.42606655555555556,0.24282527272727272
1.11247,1.80568,1.46445,3.54084,6.7543,2.75218,1.33333,3.25925,1.0794700000000002,2.77829,1.13846,1.43818,1.3640700000000001,1.39345,15.1242,2.99646,1.2973,1.41621,1.34772,1.5095,1.9033200000000001,2.57042,0.11875,0.855,0.2375,0.2375,0.475,0.855,0.475,0.07916669999999999,0.095,0.855,0.26520825,0.039583349999999996,3,6,0,4,0.0,0,1,0,2,0.2189254435,0.28988473142857135,0,0,16,0,0.3195353111111111,0.08336427636363636
