genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me3,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k4me1,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,Epi_LevelOne,Epi_LevelTwo,adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,Exp_LevelOne,Exp_LevelTwo,genebody_LINE,genebody_LTR,genebody_Satellite,genebody_SINE,micropeptide_aa_avg,TSS1k_LINE,TSS1k_LTR,TSS1k_Satellite,TSS1k_SINE,Gen_LevelOne,Gen_LevelTwo,cancer-miRNA_targets,hbm_cancer-protein_degree,hbm_total_degree,miRNA_targets,Net_LevelOne,Net_LevelTwo
1.2287299999999999,2.59361,1.7491700000000001,2.3105700000000002,3.60817,3.64356,4.8789,1.55789,1.26316,1.4813399999999999,0.0,1.03115,1.36709,1.16308,1.8342,1.45455,1.3061200000000002,1.30434,1.5178,1.36667,4.183330400000001,2.754755,0.0,0.095,0.83125,0.11875,0.0,0.0,0.0,0.095,0.07916669999999999,0.0,0.095,0.0,0.0,0.0,6,3,0,11,65.0,0,1,0,0,0.2425403225,0.3185706204285715,0,11,2517,0,0.3324324611111111,0.16187409090909088
1.39456,1.96145,1.22364,1.57774,1.6,1.18812,0.930481,2.06523,0.8888889999999999,1.2473299999999998,1.30588,3.15772,14.7065,1.43,0.9250510000000001,0.864943,1.29738,3.14542,5.24402,1.71226,1.7454259999999997,2.5387750000000002,0.0,0.095,0.0,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.095,0.0791665,0.35625,0,2,0,2,0.0,0,2,0,1,0.219396447,0.3142362658571428,3,0,382,3,-0.014838544444444454,0.07639042336363637
7.737989999999999,6.29787,1.27081,1.44773,1.50885,1.61024,0.896739,2.79568,1.24984,0.955752,22.7663,10.1247,1.3514,1.7592599999999998,0.8222219999999999,2.6552599999999997,23.4881,1.68182,1.35622,1.52846,5.022982000000001,3.26024,0.0,0.19,3.5625,0.2375,0.59375,0.0,0.665,0.475,2.375,0.0,0.095,0.095,0.095,0.0,11,7,0,13,69.0,0,0,0,0,0.19708923550000002,0.3209880921428572,0,1,177,0,0.24553428888888895,0.10525548090909091
5.1145,3.8983,3.3663300000000005,7.97617,2.80361,5.54664,41.287,26.4352,54.6922,103.962,21.2609,7.7832,12.4739,63.0195,9.339839999999999,85.13600000000001,44.0655,24.7023,5.0292699999999995,18.5768,8.43425,4.020085,1.1875,1.9,1.1875,2.375,0.475,1.58333,1.9,0.95,0.791667,0.475,37.05,2.85,2.058335,0.6333335,25,8,0,17,0.0,1,0,0,0,0.1935091405,0.29982280728571425,2,7,4717,3,0.1386036444444444,0.15853466363636362
6.8498399999999995,6.66419,7.07234,3.75084,3.6518699999999997,5.339180000000001,2.03733,1.23081,1.48167,1.6434799999999998,1.2634100000000001,1.19888,1.21214,1.4177799999999998,1.44783,1.73557,1.39406,1.67408,1.5758299999999998,1.69912,3.661841999999999,4.68438,0.2375,0.95,0.7125,0.59375,0.2375,0.158333,0.38,0.57,0.2375,0.0,0.38,0.475,0.1741665,0.27142855,2,0,0,9,0.0,0,0,0,2,0.261235827,0.48543246,4,0,153,5,0.48604966666666666,0.21329825909090913
1.0448899999999999,1.72426,1.31544,1.48536,1.2755299999999998,1.7936900000000002,0.8771469999999999,7.27452,11.7904,1.47422,7.021739999999999,3.3607,1.7968,1.8659400000000002,1.40493,1.16821,4.8417900000000005,1.554,10.6838,2.00731,3.3113599999999996,4.07263,0.0,0.095,0.2375,0.11875,0.0,0.0,0.095,0.0,0.0,0.0,0.19,0.0,0.0,0.0,24,9,0,13,0.0,1,0,0,0,0.186819385,0.27071716514285715,0,1,465,0,0.22348702222222216,0.1460855272727273
15.6538,27.3373,14.7394,37.0645,13.7663,41.791000000000004,38.5283,39.0667,68.4736,117.734,148.043,49.6965,17.6755,151.656,5.1531199999999995,98.6149,108.96700000000001,39.0648,21.0063,49.0636,8.717936,4.846495,14.25,6.65,2.375,8.3125,8.3125,11.0833,2.85,11.4,5.54167,20.9,5.7,7.6,8.391665,4.071429999999999,0,1,0,4,60.0,0,0,0,2,0.22985141850000002,0.31323386142857146,61,8,72,64,0.13309764333333332,-0.006224645454545454
7.3213,18.4905,16.0639,15.3405,7.3265199999999995,22.9981,0.903509,1.43175,1.0794,1.47512,0.925,20.258,11.3904,1.6,5.10616,1.7942599999999997,1.11374,42.4933,5.94423,25.8284,2.9328480000000003,3.25823,0.0,0.095,0.0,0.11875,0.0,0.0,0.0,0.095,0.07916669999999999,0.0,0.095,0.095,0.0791665,0.0,1,0,0,0,0.0,0,0,0,0,0.23318385649999998,0.32967566800000003,0,0,59,0,0.05321017777777776,0.1337707090909091
0.932773,1.3291899999999999,1.76702,9.446010000000001,15.8139,9.632760000000001,1.34409,1.3161,0.878268,13.882,0.8929729999999999,1.1478899999999999,1.13725,1.3540299999999998,14.5056,11.9555,0.955442,1.66373,1.40696,1.46675,2.754896,6.23007,0.475,0.38,0.0,0.475,0.2375,0.0,0.475,39.9,0.07916669999999999,0.0,24.7,0.19,0.2691665,0.07351189999999999,0,0,0,0,0.0,0,0,0,0,0.8142076505,0.3504065852857143,0,2,273,0,0.21882628999999995,0.3051020909090909
3.5990900000000003,4.95301,2.3391900000000003,2.13148,6.218430000000001,3.56981,1.15688,0.8705879999999999,1.3312,1.16353,1.8698400000000002,1.53949,1.46279,1.6524400000000001,2.26681,1.3527,1.8536400000000002,2.10697,2.70845,2.23843,4.880754,2.346695,0.11875,0.285,0.2375,0.35625,0.475,0.158333,0.19,0.19,0.0,0.0,0.095,0.19,0.0475,0.11309505,1,0,0,6,47.0,0,0,0,3,0.230111654,0.30386990014285714,0,0,9,0,0.47328588888888895,0.21636301818181816
1.24984,1.76482,1.31745,4.13837,5.25496,4.7045,0.8623850000000001,1.6087,1.6181299999999998,3.63944,1.9177400000000002,1.41221,1.48329,1.2007700000000001,6.32986,3.3046599999999997,1.4,1.44167,3.5124699999999995,1.8967900000000002,1.7065439999999998,2.1071999999999997,0.0,0.19,0.11875,0.11875,0.0,0.158333,0.0,0.19,0.07916669999999999,0.0,0.285,0.095,0.12666650000000002,0.0,41,9,0,25,0.0,0,0,0,1,0.1939001345,0.254496789,8,0,8,10,0.2257188,0.07092407272727273
1.2567700000000002,1.8803900000000002,1.76232,2.0122400000000003,2.58759,1.8701599999999998,1.24135,1.27242,1.04348,1.68724,0.8222219999999999,1.1076,1.30818,0.9697959999999999,2.84539,1.14785,1.22983,2.22134,1.33,1.1525,1.6909756000000002,2.114915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,4,0,1,1,0.0,0,0,0,0,0.2827666915,0.3309862482857143,0,15,5455,0,-0.09642966666666666,0.1076517
6.21666,7.7686,18.7577,2.07523,4.47688,7.386,8.288839999999999,8.23062,42.8336,2.13231,1.39517,1.30588,3.50615,84.4641,2.40761,7.354210000000001,17.9879,32.1766,8.33349,44.023,7.007612,3.070895,0.11875,0.95,2.375,0.2375,3.5625,0.0,0.95,0.285,0.7125,0.0,0.95,0.285,0.2691665,1.470235,0,0,0,0,0.0,0,0,0,0,0.31117021300000003,0.479151035,0,0,9,0,0.050304503333333334,0.04528111818181819
1.0996,1.6932200000000002,1.50661,1.48549,1.52805,1.36817,0.9359270000000001,1.16679,1.0,1.89838,1.12782,1.07328,1.3521100000000001,1.1662700000000001,1.12121,1.45187,2.46926,1.5664200000000001,1.62116,1.4587299999999999,2.172646,2.9472899999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,7,2,0,4,0.0,1,2,0,0,0.256803765,0.3131880088571429,0,15,5455,0,-0.09642966666666666,0.1076517
3.51195,3.9742900000000003,3.0657099999999997,4.06209,4.62852,3.8749300000000004,42.7299,38.9648,81.6543,48.4525,93.0609,28.0294,17.4162,120.723,2.5377,41.089,69.44,46.3364,16.2778,58.2548,8.10631,2.794265,1.06875,1.9,1.1875,2.375,1.1875,0.95,0.95,2.85,1.58333,0.38,1.9,0.76,1.1083335,0.531548,12,7,0,29,58.0,0,0,0,2,0.24520603850000003,0.349879398,6,2,40,6,0.42859522222222224,0.230887009090909
1.0882399999999999,2.22835,1.67242,1.60364,1.0128,1.2100799999999998,0.925,1.03226,1.57243,0.931718,1.15583,1.59955,1.1790100000000001,1.03091,1.86126,2.28571,1.7509299999999999,1.57168,1.3468799999999999,1.5263,1.835664,2.306565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,2,0,0,4,39.0,1,0,0,2,0.2682291665,0.2979278598571429,0,15,5455,0,-0.09642966666666666,0.1076517
1.01549,1.30295,1.31962,1.15551,1.46089,1.33333,0.926316,0.865856,0.878173,2.07375,0.931444,1.0882100000000001,1.10299,1.4175,1.89484,1.23832,1.18479,1.54995,1.3458,1.23664,2.097598,1.8560050000000001,0.35625,1.9,0.83125,0.83125,0.475,0.475,0.76,0.76,0.395833,0.285,0.665,0.57,0.475,0.3845235,0,3,0,1,88.0,0,1,0,0,0.266718507,0.3077625321428572,0,0,73,0,0.4047073333333333,0.1496104181818182
